Symbol,Name,Price,Change,Market Cap,PE Ratio
MS,Morgan Stanley,82.26,-0.37,139212000000.0,14.31
WFC,Wells Fargo & Company,37.41,-0.92,141343000000.0,10.88
HDB,HDFC Bank Limited,67.81,0.68,126223000000.0,26.19
SPGI,S&P Global Inc.,357.81,-2.48,114856000000.0,43.72
TD,The Toronto-Dominion Bank,60.64,-0.25,111900000000.0,9.89
BX,Blackstone Inc.,82.94,-0.34,98856000000.0,101.18
SCHW,The Charles Schwab Corporation,49.06,1.33,88932000000.0,13.33
MMC,"Marsh & McLennan Companies, Inc.",180.32,-0.05,89234000000.0,28.18
GS-PJ,"The Goldman Sachs Group, Inc.",24.97,-0.01,68303000000.0,0.48
MS,Morgan Stanley,82.28,-0.35,139204000000.0,14.31
WFC,Wells Fargo & Company,37.4,-0.93,141324000000.0,10.88
HDB,HDFC Bank Limited,67.81,0.68,126205000000.0,26.18
SPGI,S&P Global Inc.,357.76,-2.54,114785000000.0,43.69
AXP,American Express Company,147.79,-0.2,110356000000.0,15.61
TD,The Toronto-Dominion Bank,60.65,-0.24,111900000000.0,9.89
BX,Blackstone Inc.,82.94,-0.34,98821000000.0,101.15
